pair_id,task_desc,arm,bobcoins,tokens_up,tokens_down,context_length_at_completion,turns,files_read_before_first_edit,first_attempt_success,rollbacks,wall_clock_seconds,screenshot_path,notes
1,GET /users/{user_id} endpoint + MCP exposure,1,1.1,,,38300/270000,,,yes,0,,bob_sessions/rebob_task01_get_user_by_id_endpoint_summary.png,Correctly used FastApiMCP auto-generation instead of the stale hand-written-MCP-tool pattern AGENTS.md describes. 76/76 tests pass. 4 files changed.
2,pytest test for GET /user endpoint,1,1.02,,,42200/270000,,,yes,0,,bob_sessions/rebob_task02_user_endpoint_test_summary.png,"Correctly identified AGENTS.md's dual-SessionLocal-patch claim as stale; patched db.SessionLocal only, matching the real dependency_overrides pattern. 77/77 tests pass. 1 file changed."
3,POST /bookings/{booking_id}/seat-class endpoint,1,2.11,,,58700/270000,,,yes,0,,bob_sessions/rebob_task03_seat_class_upgrade_summary.png,"Correctly mirrored book_flight's dual user_id+name identity check into the new upgrade_seat_class function. 16 new tests (9 service + 7 REST), all passing. 5 files changed, 6/6 subtasks."
4,deactivate_user service function + endpoint,1,1.34,,,53800/270000,,,yes,0,,bob_sessions/rebob_task04_deactivate_user_summary.png,Correctly used the Union[BookingOut|ErrorResponse] return pattern instead of raising; used the 'verify' skill from AGENTS.md. 98/98 tests pass. 4 files changed.
5,frontend error handling for expired hold confirm,1,2.08,,,46600/270000,,,unverified,0,,bob_sessions/rebob_task05_hold_expired_frontend_summary.png,"Correctly diagnosed Java 4xx -> Python proxy HTTP 200 w/ error body -> frontend must check response body not status. Added HoldExpiredError sentinel class. NOT verified by an actual test run: Node/npm unavailable in this environment, manual code review only. 3 files changed."
6,preserve local dev data across backend restarts,1,0.498,,,28700/270000,,,unverified,0,,bob_sessions/rebob_task06_local_dev_data_summary.png,"Correctly diagnosed SEED_DEMO_DATA/.env gap; added .env.example, gitignored .env, and updated start_locally.sh to auto-bootstrap + flip SEED_DEMO_DATA after first health check. NOT verified by any automated test or actual restart-cycle run: reasoning/code-review only. 2 files changed."
2,pytest test for GET /user endpoint,2,0.563,,,41600/270000,,,yes,0,,bob_sessions/arm2/rebob_task02_user_endpoint_test_summary.png,"Memory ON, after tightening the injected brief with a 'trust this, do not re-verify' preamble (see rebob/core/retrieve.py _BRIEF_PREAMBLE + .bob/rules/rules.md). Context nearly identical to Arm 1 (41600 vs 42200 tokens, ~1.4% less) but bobcoins dropped ~45% (0.563 vs 1.02) -- the saving looks like it comes from fewer round-trips/re-verification passes, not from a smaller context. first_attempt_success and rollbacks are per user report, not independently re-verified against the test suite. Screenshot pending export to the path above."
1,GET /users/{user_id} endpoint + MCP exposure,2,0.929,,,36000/270000,,,yes,0,,bob_sessions/arm2/rebob_task01_get_user_by_id_endpoint_summary.png,"Memory ON, tightened brief. Redo of this pair's earlier broken run (1.31 bobcoins, MCP permission not yet granted, memory unavailable -- see prior notes/conversation, not logged as a row here). This run: 0.929 vs Arm 1's 1.1 bobcoins (~15.5% less), 36000 vs 38300 tokens (~6% less) -- context and cost both dropped this time, unlike pair 2 where only cost dropped. Smaller relative win than pair 2's ~45%, plausibly because Arm 1 already succeeded first-attempt on this pair (see arm=1 row notes), leaving less headroom for memory to help. first_attempt_success and rollbacks are per user report, not independently re-verified against the test suite. Screenshot pending export to the path above."
3,POST /bookings/{booking_id}/seat-class endpoint,2,0.881,,,71700/270000,,,yes,0,,bob_sessions/arm2/rebob_task03_seat_class_upgrade_summary.png,"REDONE after adding the MANDATORY rule (rules.md): Bob must call mem_search itself at task start, not rely on ambient hook injection alone. First attempt (tightened brief only, no forced call) was a reversal: 2.21 bobcoins / 78700 tokens, both up vs Arm 1's 2.11 / 58700 -- superseded, not used for comparison. This corrected run: 0.881 bobcoins (~58.3% LESS than Arm 1's 2.11) but 71700 tokens (~22% MORE than Arm 1's 58700) -- cost down, final context up. Consistent with bobcoins tracking cumulative round-trips across the session rather than final context size: forcing retrieval up front apparently cut back-and-forth turns even though the resulting implementation was more thorough (this run: 'all 104 tests pass' + four documented business rules with error codes NOT_AN_UPGRADE/NO_SEATS_AVAILABLE/etc, vs Arm 1's narrower 16 new tests). Confirms the mandatory-mem_search rule fixes the pair-3 regression and turns it into the second-largest win logged so far."
5,frontend error handling for expired hold confirm,2,0.866,,,33900/270000,,,yes,0,,bob_sessions/arm2/rebob_task05_hold_expired_frontend_summary.png,"Memory ON, tightened brief. BIGGEST WIN so far: 0.866 vs Arm 1's 2.08 bobcoins (~58.4% less), 33900 vs 46600 tokens (~27.3% less). Consistent with the prediction that pairs 5 and 6 -- where Arm 1 was marked unverified, i.e. genuinely struggled/could not be confirmed -- would show the clearest memory benefit, since a cold agent had to discover the Java-proxy-returns-200-with-error-body failure mode from scratch, while this run had the failure_mode and task_recipe memories stating it directly. User described this run qualitatively as 'paradise' (smooth, successful); first_attempt_success/rollbacks logged as yes/0 based on that description, not an independently confirmed test run -- same caveat as Arm 1's own unverified status for this pair (Node/npm unavailable in that environment). Screenshot pending export to the path above."
